色,慣用色名
#F9A1D0,とき色
#CB4B94,つつじ色
#FFDBED,桜色
#D34778,ばら色
#E3557F,からくれない
#FF87A0,さんご色
#E08899,紅梅（こうばい）色
#E38698,桃色
#BD1E48,紅色
#B92946,紅赤
#AE3846,えんじ
#974B52,蘇芳（すおう）
#A0283A,茜（あかね）色
#BF1E33,赤
#ED514E,朱色
#A14641,紅樺（べにかば）色
#EE5145,紅緋（べにひ）
#D3503C,鉛丹（えんたん）色
#703B32,紅海老茶
#7D483E,とび色
#946259,小豆（あずき）色
#8A4031,弁柄（べんがら）色
#6D3D33,海老茶
#ED542A,金赤
#B15237,赤茶
#923A21,赤錆色
#EF6D3E,黄丹（おうに）
#ED551B,赤橙
#E06030,柿色
#B97761,肉桂（にっけい）色
#BD4A1D,樺（かば）色
#974E33,れんが色
#664134,錆色
#8A604F,檜皮（ひわだ）色
#754C38,栗色
#E45E00,黄赤
#BA6432,たいしゃ
#B67A52,らくだ色
#BB6421,黄茶
#F4BE9B,肌色
#FD7E00,橙色
#866955,灰茶
#734E30,茶色
#594639,焦茶
#FFA75E,こうじ色
#DDA273,杏色
#FA8000,蜜柑色
#763900,褐色
#A96E2D,土色
#D9A46D,小麦色
#C67400,こはく色
#C47600,金茶
#FABE6F,卵色
#FFA500,山吹色
#C18A39,黄土色
#897868,朽葉（くちば）色
#FFB500,ひまわり色
#FCAC00,うこん色
#C9B9A8,砂色
#CDA966,芥子（からし）色
#FFBE00,黄色
#FFBE00,たんぽぽ色
#70613A,鶯茶
#FAD43A,中黄
#EED67E,刈安（かりやす）色
#D9CB65,きはだ色
#736F55,みる色
#C2C05C,ひわ色
#71714A,鶯（うぐいす）色
#BDBF92,抹茶色
#B9C42F,黄緑
#7A7F46,苔色
#A9B735,若草色
#96AA3D,萌黄（もえぎ）
#72814B,草色
#AFC297,若葉色
#6E815C,松葉色
#CADBCF,白緑（びゃくろく）
#4DB56A,緑
#357C4C,常磐（ときわ）色
#5F836D,緑青（ろくしょう）色
#4A6956,千歳緑（ちとせみどり）
#005731,深緑
#15543B,もえぎ色
#49A581,若竹色
#80AA9F,青磁色
#7AAAAC,青竹色
#244344,鉄色
#0090A8,青緑
#6C8D9B,錆浅葱
#7A99AA,水浅葱
#69AAC6,新橋色
#0087AA,浅葱（あさぎ）色
#84B5CF,白群（びゃくぐん）
#166A88,納戸色
#8CB4CE,かめのぞき
#A9CEEC,水色
#5E7184,藍鼠（あいねず）
#95C0EC,空色
#0067C0,青
#2E4B71,藍色
#20324E,濃藍（こいあい）
#92AFE4,勿忘草（わすれなぐさ）色
#3D7CCE,露草色
#3C639B,はなだ色
#3D496B,紺青（こんじょう）
#3451A4,るり色
#324784,るり紺
#333C5E,紺色
#4C5DAB,かきつばた色
#383C57,勝色（かちいろ）
#414FA3,群青（ぐんじょう）色
#232538,鉄紺
#6869A8,藤納戸
#4A49AD,ききょう色
#35357D,紺藍
#A09BD8,藤色
#948BDB,藤紫
#704CBC,青紫
#6D52AB,菫（すみれ）色
#675D7E,鳩羽（はとば）色
#7051AA,しょうぶ色
#5F4C86,江戸紫
