市区町村,ふりがな,タイトル,内容
さいたま市西区,にしく,,
さいたま市北区,きたく,盆栽の町,大宮盆栽村・再来年は世界盆栽大会
さいたま市大宮区,おおみやく,氷川神社,武蔵の国一宮 戦艦武蔵のご神体
さいたま市見沼区,みぬまく,はとっぽっぽ,童謡鳩ポッポの発祥の地
さいたま市中央区,ちゅうおうく,さいたまスーパーアリーナ,ライブ・スポーツの聖地
さいたま市桜区,さくらく,,
さいたま市浦和区,うらわく,うなぎのまち,やなせたかしのうなこちゃん おみやげはうなぎせんべい
さいたま市南区,みなみく,,
さいたま市緑区,みどりく,埼玉スタジアム,国立亡き後サッカーの聖地
岩槻区,いわつきく,フィギュアのまち,雛人形の一大生産地
川越市,かわごえし,小江戸川越,蔵の街・時の鐘・コエドビール・九里よりうまい十三里
熊谷市,くまがやし,暑いぞ熊谷,最高気温元チャンピオン・雪くま
川口市,かわぐちし,鋳物の街,唯一のベーゴマの産地
行田市,ぎょうだし,ゼリーフライ,埼玉オリジナルのB級グルメ。和製クレープ
秩父市,ちちぶし,あの花の聖地,あの花の聖地。お酒はワイン・日本酒・ウイスキーすべて作っています。
所沢市,ところざわし,航空発祥の地,日本の航空の聖地。プロペラ公園
飯能市,はんのうし,ムーミン谷,あけぼの子どもの森公園でムーミンの世界に
加須市,かぞし,加須うどん,名物は加須うどん
本庄市,ほんじょうし,,
東松山市,ひがしまつやまし,しまむら一号店,しまむらチェーン一号店はここ
春日部市,かすかべし,しんちゃんのまち,クレヨンしんちゃんで一躍有名に
狭山市,さやまし,狭山茶,色の静岡、香りの宇治、味の狭山茶
羽生市,はにゅうし,,
鴻巣市,こうのすし,鯉のぼりのまち,特大鯉のぼりで有名。埼玉の運転試験場所でも有名
深谷市,ふかやし,深谷ネギのまち,深谷ネギのゆるキャラ
上尾市,あげおし,,
草加市,そうかし,草加せんべい,やっぱり草加と言ったらせんべいでしょ。
越谷市,こしがやし,,
蕨市,わらびし,一番狭い市,一番狭くて、人口密度が高くて、五十音の最後の市
戸田市,とだし,ボートの町,東京オリンピックではボート競技。その後は戸田ボート
入間市,いるまし,,
朝霞市,あさかし,,
志木市,しきし,,
和光市,わこうし,,
新座市,にいざし,,
桶川市,おけがわし,,
久喜市,くきし,,
北本市,きたもとし,,
八潮市,やしおし,,
富士見市,ふじみし,,
三郷市,みさとし,,
蓮田市,はすだし,,
坂戸市,さかどし,,
幸手市,さってし,,
鶴ヶ島市,つるがしまし,,
日高市,ひだかし,,
吉川市,よしかわし,,
ふじみ野市,ふじみのし,,
白岡市,しらおかし,,
伊奈町,いなまち,,
三芳町,みよしまち,,
毛呂山町,もろやままち,,
越生町,おごせまち,,
滑川町,なめがわまち,,
嵐山町,らんざんまち,,
小川町,おがわまち,,
川島町,かわじままち,,
吉見町,よしみまち,,
鳩山町,はとやままち,,
ときがわ町,ときがわまち,,
横瀬町,よこぜまち,,
皆野町,みなのまち,,
長瀞町,ながとろまち,,
小鹿野町,おがのまち,,
東秩父村,ひがしちちぶむら,,
美里町,みさとまち,,
神川町,かみかわまち,,
上里町,かみさとまち,,
寄居町,よりいまち,,
宮代町,みやしろまち,,
杉戸町,すぎとまち,,
松伏町,まつぶしまち,,
